$ bin/fm-orphan-sweep.sh --dry-run   # real box, default roots, read-only (2026-09-08T23:29:33Z)
orphan sweep: would have removed tmp entry /tmp/rtm452b-report-comment.md (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fm-merged (58M, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/rtm467-audit3.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/rtm467-audit3.md (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fm-main (15M, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/fm-base-77fa951 (15M, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/build-final.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/seer-cli (804K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail319.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/rtm452b-audit-report.md (12K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/f-d-full30.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/c5be.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/c883.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/full.txt (72K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/org.chromium.Chromium.6csLkf (0, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/td.out (20K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/f-i-full30.log (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/d1b.txt (4.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ph-harness (84K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/d1.txt (8.0K, older than 2 days, nothing is using it)
orphan sweep: would have removed tmp entry /tmp/ponytail7.out (4.0K, older than 2 days, nothing is using it)
